handle,product_id,position,is_featured,image_url,target_filename
acid-lime-tie-dye-swim-trunks,9260923781347,1,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/acid-lime-tie-dye-swim-trunks-citrus-spiral-aop-quick-dry-shorts-for-pool-rave-season-1338472.jpg?v=1782724092,acid-lime-tie-dye-swim-trunks-cutout.png
acid-lime-tie-dye-swim-trunks,9260923781347,2,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/acid-lime-tie-dye-swim-trunks-citrus-spiral-aop-quick-dry-shorts-for-pool-rave-season-3593950.jpg?v=1782724091,acid-lime-tie-dye-swim-trunks-cutout.png
acid-lime-tie-dye-swim-trunks,9260923781347,3,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/acid-lime-tie-dye-swim-trunks-citrus-spiral-aop-quick-dry-shorts-for-pool-rave-season-8726985.jpg?v=1782724092,acid-lime-tie-dye-swim-trunks-cutout.png
acid-lime-tie-dye-swim-trunks,9260923781347,4,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/acid-lime-tie-dye-swim-trunks-citrus-spiral-aop-quick-dry-shorts-for-pool-rave-season-6040003.jpg?v=1782724091,acid-lime-tie-dye-swim-trunks-cutout.png
acid-lime-tie-dye-swim-trunks,9260923781347,5,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/acid-lime-tie-dye-swim-trunks-citrus-spiral-aop-quick-dry-shorts-for-pool-rave-season-5558649.jpg?v=1782724092,acid-lime-tie-dye-swim-trunks-cutout.png
acid-lime-tie-dye-swim-trunks,9260923781347,6,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/acid-lime-tie-dye-swim-trunks-citrus-spiral-aop-quick-dry-shorts-for-pool-rave-season-2164287.jpg?v=1782724091,acid-lime-tie-dye-swim-trunks-cutout.png
acid-pour-aloha-shirt,9193898016995,0,1,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/maximalist-print-mens-hawaiian-shirt-aop-short-sleeve-summer-button-down-9419022.png?v=1782724326,acid-pour-aloha-shirt-cutout.png
acid-pour-aloha-shirt,9193898016995,1,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/155733-b5e8affd-ac60-4afe-a984-43aa50161744.jpg?v=1774789626,acid-pour-aloha-shirt-cutout.png
acid-pour-aloha-shirt,9193898016995,2,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/155733-e14318e6-a048-4dcc-8703-e06482a4ac57.jpg?v=1774789626,acid-pour-aloha-shirt-cutout.png
acid-pour-aloha-shirt,9193898016995,3,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/155733-edfe4497-6d8d-4984-bfd5-cc2f114e514a.jpg?v=1774789626,acid-pour-aloha-shirt-cutout.png
acid-pour-aloha-shirt,9193898016995,4,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/155733-630d09de-b10f-4a2f-92a1-af5a965fa92b.jpg?v=1774789626,acid-pour-aloha-shirt-cutout.png
acid-pour-aloha-shirt,9193898016995,5,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/155733-35825804-66c3-4ffe-84f1-096bab2f6b65.jpg?v=1774789626,acid-pour-aloha-shirt-cutout.png
acid-pour-aloha-shirt,9193898016995,6,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/155733-a7814b0a-5049-48ee-b7f7-c89fa0a6c4be.jpg?v=1774789626,acid-pour-aloha-shirt-cutout.png
acid-pour-aloha-shirt,9193898016995,7,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/155733-44d2bf5f-a7ae-4d3c-bd4c-095c06add4d5.jpg?v=1774789626,acid-pour-aloha-shirt-cutout.png
acid-pour-aloha-shirt,9193898016995,8,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/155733-a3e8ec3e-6d7f-4686-9618-fe86697ebd1b.jpg?v=1774789626,acid-pour-aloha-shirt-cutout.png
aerosol-alchemists-graffiti-long-sleeve,9259957747939,0,1,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/aerosol-alchemists-long-sleeve-for-urban-graffiti-heads-neon-spray-can-creature-aop-190g-heavyweight-cotton-streetwear-festival-art-tee-4642746.png?v=1782724159,aerosol-alchemists-graffiti-long-sleeve-cutout.png
